country	year	source	age	unionORchildren	unionANDchildren	perc_simult
Romania	2002	3	20	289	46	0.15916955
Romania	2002	3	21	438	71	0.162100457
Romania	2002	3	22	469	90	0.191897655
Romania	2002	3	23	451	100	0.22172949
Romania	2002	3	24	445	103	0.231460674
Rwanda	2000	1	12	4.673568	4.673568	1
Rwanda	2000	1	13	6.860623	5.476011	0.798179845
Rwanda	2000	1	14	1.999274	1.999274	1
Rwanda	2000	1	15	6.351376	6.351376	1
Rwanda	2000	1	17	1.453032	1.453032	1
Rwanda	2000	1	19	0.323088	0.323088	1
Rwanda	2000	1	23	0.646176	0.646176	1
Rwanda	2000	1	24	0.646176	0.323088	0.5
Rwanda	2002	3	13	941	2	0.002125399
Rwanda	2002	3	14	757	4	0.005284016
Rwanda	2002	3	15	540	5	0.009259259
Rwanda	2002	3	16	357	1	0.00280112
Rwanda	2002	3	17	246	6	0.024390244
Rwanda	2002	3	18	206	12	0.058252427
Rwanda	2002	3	19	160	19	0.11875
Rwanda	2002	3	20	189	30	0.158730159
Rwanda	2002	3	21	144	30	0.208333333
Rwanda	2002	3	22	116	31	0.267241379
Rwanda	2002	3	23	122	42	0.344262295
Rwanda	2002	3	24	110	57	0.518181818
Rwanda	2005	1	12	7.227514	6.256716	0.865680233
Rwanda	2005	1	13	2.727992	2.727992	1
Rwanda	2005	1	14	12.112123	11.404209	0.941553269
Rwanda	2005	1	15	13.456581	10.953892	0.814017468
Rwanda	2005	1	16	0.731976	0.731976	1
Rwanda	2005	1	17	4.822323	3.461349	0.717776267
Rwanda	2005	1	18	6.17246	4.239261	0.686802507
Rwanda	2005	1	19	2.037377	2.037377	1
Rwanda	2005	1	20	2.634238	1.241795	0.471405773
Rwanda	2005	1	21	2.883273	2.245575	0.778828436
Rwanda	2005	1	23	3.921107	3.098072	0.790101367
Rwanda	2005	1	24	2.566357	2.566357	1
Senegal	2002	3	12	1121	5	0.004460303
Senegal	2002	3	13	682	4	0.005865103
Senegal	2002	3	14	464	4	0.00862069
Senegal	2002	3	15	363	8	0.022038567
Senegal	2002	3	16	249	7	0.02811245
Senegal	2002	3	17	211	12	0.056872038
Senegal	2002	3	18	198	17	0.085858586
Senegal	2002	3	19	149	10	0.067114094
Senegal	2002	3	20	174	28	0.16091954
Senegal	2002	3	21	102	21	0.205882353
Senegal	2002	3	22	145	44	0.303448276
Senegal	2002	3	23	96	31	0.322916667
Senegal	2002	3	24	101	30	0.297029703
Senegal	2005	1	15	10.742664	0.469953	0.043746412
Senegal	2005	1	17	13.077032	1.167583	0.089285015
Senegal	2005	1	18	17.140791	2.156251	0.12579647
Senegal	2005	1	19	11.621501	4.115534	0.35413102
Senegal	2005	1	20	14.655446	5.281574	0.360383028
Senegal	2005	1	21	3.939564	0.759349	0.192749502
Senegal	2005	1	22	6.119335	3.875693	0.63335199
Senegal	2005	1	23	16.646799	8.718121	0.523711556
Senegal	2005	1	24	5.288455	0.477222	0.090238453
Sierra Leone	2004	3	14	103	2	0.019417476
Sierra Leone	2004	3	15	165	8	0.048484848
Sierra Leone	2004	3	16	70	4	0.057142857
Sierra Leone	2004	3	17	87	8	0.091954023
Sierra Leone	2004	3	18	157	27	0.171974522
Sierra Leone	2004	3	19	111	12	0.108108108
Sierra Leone	2004	3	20	189	59	0.312169312
Sierra Leone	2004	3	21	62	29	0.467741935
Sierra Leone	2004	3	22	90	31	0.344444444
Sierra Leone	2004	3	23	72	31	0.430555556
Sierra Leone	2004	3	24	66	32	0.484848485
Slovenia	2002	3	22	223	52	0.233183857
South Africa	2001	3	12	430.2389389	6.953807149	0.016162663
South Africa	2001	3	13	510.6246499	27.78610183	0.054415904
South Africa	2001	3	14	654.3885377	21.94244053	0.033531212
South Africa	2001	3	15	1196.603245	73.06989982	0.061064434
South Africa	2001	3	16	2282.133651	87.59833032	0.0383844
South Africa	2001	3	17	3449.544388	165.472482	0.047969373
South Africa	2001	3	18	4762.436659	264.9037688	0.055623578
South Africa	2001	3	19	5364.212273	363.0667929	0.067683152
South Africa	2001	3	20	5071.408392	392.6587542	0.077425978
South Africa	2001	3	21	4879.305724	500.4660664	0.102569114
South Africa	2001	3	22	3998.980036	512.0252312	0.128038957
South Africa	2001	3	23	3286.641719	518.2691775	0.157689588
South Africa	2001	3	24	3110.306618	648.9842745	0.208656044
South Africa	2007	3	15	129.3765564	1.191932714	0.009212896
South Africa	2007	3	16	395.3563303	10.93304557	0.02765365
South Africa	2007	3	17	689.9771347	26.42994753	0.038305541
South Africa	2007	3	18	983.3460432	42.98597509	0.043713986
South Africa	2007	3	19	1147.184934	62.84019395	0.054777736
South Africa	2007	3	20	1159.200869	79.8610464	0.068893191
South Africa	2007	3	21	1051.22469	81.47138814	0.077501403
South Africa	2007	3	22	802.2408952	77.61975985	0.096753681
South Africa	2007	3	23	615.3648562	91.60470393	0.148862424
South Africa	2007	3	24	546.9540925	92.1645814	0.16850515
Sudan	2008	3	12	2537.266238	15.54045235	0.00612488
Sudan	2008	3	13	1844.433672	8.118913697	0.004401846
Sudan	2008	3	14	1787.494101	23.87812158	0.013358434
Sudan	2008	3	15	7233.909527	156.3764441	0.021617141
Sudan	2008	3	16	3983.472331	78.17941308	0.019625946
Sudan	2008	3	17	3174.783014	162.4120416	0.051156895
Sudan	2008	3	18	4003.945795	369.5236214	0.092289866
Sudan	2008	3	19	2021.817989	270.0955577	0.133590441
Sudan	2008	3	20	4149.529809	606.556261	0.146174697
Sudan	2008	3	21	1580.134402	214.5213732	0.135761472
Sudan	2008	3	22	5432.106759	896.4044163	0.165019661
Sudan	2008	3	23	1897.583928	475.0254547	0.250331723
Sudan	2008	3	24	1582.39977	404.7887763	0.255806898
Switzerland	2000	3	19	30	2	0.066666667
Switzerland	2000	3	21	39	4	0.102564103
Switzerland	2000	3	22	68	6	0.088235294
Switzerland	2000	3	23	67	7	0.104477612
Switzerland	2000	3	24	86	6	0.069767442
Tanzania	2002	3	12	509.0366533	12.5121262	0.02458001
Tanzania	2002	3	13	448.3064402	20.34515614	0.045382253
Tanzania	2002	3	14	593.990102	21.61965283	0.036397328
Tanzania	2002	3	15	555.5502122	24.80143828	0.044643018
Tanzania	2002	3	16	613.8528656	58.83852132	0.09585118
Tanzania	2002	3	17	539.6758212	78.89958947	0.146198118
Tanzania	2002	3	18	719.727445	159.2552691	0.221271636
Tanzania	2002	3	19	485.4528941	163.9466202	0.337718906
Tanzania	2002	3	20	552.6647695	216.3513841	0.391469469
Tanzania	2002	3	21	270.8829087	110.323063	0.407272144
Tanzania	2002	3	22	478.0465532	233.6295041	0.488717056
Tanzania	2002	3	23	317.1781099	164.35437	0.518176901
Tanzania	2002	3	24	312.536892	175.0750707	0.560174095
Tanzania	2003	1	13	2.0853	2.0853	1
Tanzania	2003	1	16	1.272288	1.272288	1
Tanzania	2003	1	17	1.865134	1.865134	1
Tanzania	2003	1	18	2.629887	1.690342	0.642743205
Tanzania	2003	1	19	4.71248	3.164907	0.671601153
Tanzania	2003	1	20	2.889604	1.613887	0.558514938
Tanzania	2003	1	21	0.76309	0.488847	0.640615131
Tanzania	2003	1	22	2.185852	2.185852	1
Tanzania	2003	1	23	0.694287	0.694287	1
Tanzania	2003	1	24	4.219357	1.955144	0.46337487
Tanzania	2004	1	16	1.984183	1.181341	0.595379055
Tanzania	2004	1	18	2.66523	1.629079	0.611233927
Tanzania	2004	1	23	2.821226	2.821226	1
Tanzania	2004	1	24	1.753919	1.753919	1
Tanzania	2007	1	16	1.338641	1.338641	1
Tanzania	2007	1	17	5.048114	2.571047	0.509308427
Tanzania	2007	1	18	9.344094	4.986842	0.533689194
Tanzania	2007	1	19	8.071812	1.645207	0.203821273
Tanzania	2007	1	20	10.591577	5.65567	0.533978085
Tanzania	2007	1	21	9.917037	7.433648	0.74958357
Tanzania	2007	1	22	8.258182	5.128413	0.621009927
Tanzania	2007	1	23	21.328557	11.242175	0.527094965
Tanzania	2007	1	24	15.21828	10.04555	0.660097593
Thailand	2000	3	14	55.91443943	0.997768701	0.017844562
Thailand	2000	3	15	47.64148587	5.564966423	0.116809254
Thailand	2000	3	16	44.60330262	3.981002377	0.089253534
Thailand	2000	3	17	57.20410909	2.027051137	0.035435411
Thailand	2000	3	18	61.22869216	15.16039982	0.247602869
Thailand	2000	3	19	59.927155	4.966604384	0.08287736
Thailand	2000	3	20	43.07069798	14.1555505	0.328658489
Thailand	2000	3	21	48.37846845	14.06769101	0.290784133
Thailand	2000	3	22	53.15479371	21.51809622	0.404819485
Thailand	2000	3	23	59.21719844	17.05591103	0.288022931
Thailand	2000	3	24	34.18272797	16.06412595	0.469948623
Turkey	2003	1	20	7.2581	0.775002	0.106777531
Turkey	2003	1	21	3.554002	1.032975	0.290651215
Turkey	2003	1	22	4.724204	1.513287	0.320326345
Turkey	2003	1	23	3.119159	0.590703	0.189378932
Turkey	2003	1	24	2.90928	2.90928	1
Uganda	2000	1	18	4.012037	1.684963	0.419976934
Uganda	2000	1	19	2.791927	1.055735	0.378138469
Uganda	2000	1	20	2.351934	0.972616	0.413538815
Uganda	2000	1	22	2.191624	0.572295	0.261128277
Uganda	2000	1	23	4.635337	2.344967	0.505889216
Uganda	2000	1	24	1.440072	1.33428	0.926537006
Uganda	2002	3	12	852	4	0.004694836
Uganda	2002	3	13	651	11	0.016897081
Uganda	2002	3	14	851	15	0.017626322
Uganda	2002	3	15	1392	46	0.033045977
Uganda	2002	3	16	1833	106	0.057828696
Uganda	2002	3	17	1828	167	0.091356674
Uganda	2002	3	18	2919	327	0.112024666
Uganda	2002	3	19	2254	319	0.141526176
Uganda	2002	3	20	2186	500	0.228728271
Uganda	2002	3	21	1297	302	0.232845027
Uganda	2002	3	22	1486	463	0.311574697
Uganda	2002	3	23	838	300	0.357995227
Uganda	2002	3	24	607	264	0.434925865
Venezuela	2001	3	13	280	7	0.025
Venezuela	2001	3	14	293	14	0.04778157
Venezuela	2001	3	15	441	60	0.136054422
Venezuela	2001	3	16	630	119	0.188888889
Venezuela	2001	3	17	883	240	0.27180068
Venezuela	2001	3	18	1133	437	0.385701677
Venezuela	2001	3	19	1302	536	0.411674347
Venezuela	2001	3	20	1558	718	0.46084724
Venezuela	2001	3	21	1861	932	0.500806018
Venezuela	2001	3	22	1923	1036	0.53874155
Venezuela	2001	3	23	1962	1095	0.558103976
Venezuela	2001	3	24	1944	1163	0.598251029
Vietnam	2002	1	12	9.862349	7.630776	0.773728044
Vietnam	2002	1	13	13.162206	13.162206	1
Vietnam	2002	1	14	5.396671	4.56895	0.84662378
Vietnam	2002	1	15	8.135357	7.17161	0.881535992
Vietnam	2002	1	16	16.10067	13.737607	0.853232008
Vietnam	2002	1	17	7.539659	7.539659	1
Vietnam	2002	1	18	6.30903	5.172108	0.819794485
Vietnam	2002	1	19	4.657336	3.70545	0.795615777
Vietnam	2002	1	20	3.812859	3.812859	1
Vietnam	2002	1	21	2.398148	2.398148	1
Vietnam	2002	1	22	1.248639	1.248639	1
Vietnam	2002	1	23	0.94448	0.94448	1
Vietnam	2002	1	24	0.811238	0.811238	1
Vietnam	2005	1	17	2.778402	1.389201	0.5
