"Figure2a","Figure2b","Figure3","Figure5","Figure6"
"15",-0.172566710789565,-0.0570468119659933,-0.0339626567555821,1.73931717225069,6.37765308786645
"16",-0.303097341584714,-0.0485697120972166,-0.10721275668596,3.80818912468268,4.21775520304576
"17",-0.469230143032547,-0.0304078658099668,-0.216061107073477,3.80237003653385,4.08866411491439
"18",-0.814392176164761,-0.0355380695024918,-0.583162702116918,3.00472041296726,5.1079215127344
"19",-1.11366735787362,-0.0158590877505838,-0.949747918442012,2.58270061246814,4.05820254395112
"20",-1.37776976259994,-0.101197086002236,-1.65188924941766,2.3247338224821,3.6844175530126
"21",-1.52238845435825,-0.203933767518335,-1.97279477785908,1.66916726630659,3.19804153023709
"22",-1.86226505123537,-3.83265583805388,-2.61302572242849,1.35144483987898,2.15694547750204
"23",-2.22193173302414,-7.19801266621729,-3.40045190060949,0.991323253791448,0.990698883055433
"24",-2.7956743824976,-10.7987075173861,-4.25623238091749,0.605501255334407,0.429137048258852
