"country"	"YEAR"	"source"	"AGE"	"unionORchildren"	"unionANDchildren"	"perc_simult"
"Philipines"	"2000"	"3"	"17"	"2151.3681014"	"511.86483631"	"0.23792527"
"Philipines"	"2000"	"3"	"18"	"2821.4775168"	"939.35848425"	"0.3329314087"
"Philipines"	"2000"	"3"	"19"	"3722.8300856"	"1579.4325342"	"0.4242558747"
"Philipines"	"2000"	"3"	"20"	"4925.4111252"	"2539.1062009"	"0.5155115251"
"Philipines"	"2000"	"3"	"21"	"5141.6851967"	"2917.0269156"	"0.5673289601"
"Philipines"	"2000"	"3"	"22"	"5658.1185191"	"3546.3115624"	"0.6267651606"
"Philipines"	"2000"	"3"	"23"	"5647.7179233"	"3848.317648"	"0.6813933876"
"Philipines"	"2000"	"3"	"24"	"6200.8935373"	"4536.5066037"	"0.7315891777"
"Puerto Rico"	"2000"	"3"	"15"	"35.188314897"	"4.0870280759"	"0.1161473088"
"Puerto Rico"	"2000"	"3"	"16"	"101.3283912"	"23.325965116"	"0.2302016724"
"Puerto Rico"	"2000"	"3"	"17"	"140.25484153"	"37.281670741"	"0.2658137882"
"Puerto Rico"	"2000"	"3"	"18"	"116.38061655"	"40.820438953"	"0.3507494647"
"Puerto Rico"	"2000"	"3"	"19"	"131.63220913"	"41.368698817"	"0.3142748959"
"Puerto Rico"	"2000"	"3"	"20"	"144.69076225"	"65.193081991"	"0.4505683775"
"Puerto Rico"	"2000"	"3"	"21"	"159.7429876"	"74.912234122"	"0.4689547582"
"Puerto Rico"	"2000"	"3"	"22"	"196.52624028"	"74.214448841"	"0.3776312452"
"Puerto Rico"	"2000"	"3"	"23"	"189.64807108"	"67.784855892"	"0.3574244415"
"Puerto Rico"	"2000"	"3"	"24"	"159.64330399"	"65.79118366"	"0.4121136435"
"Portugal"	"2001"	"3"	"15"	"15"	"1"	"0.0666666667"
"Portugal"	"2001"	"3"	"16"	"20"	"3"	"0.15"
"Portugal"	"2001"	"3"	"17"	"21"	"4"	"0.1904761905"
"Portugal"	"2001"	"3"	"18"	"36"	"7"	"0.1944444444"
"Portugal"	"2001"	"3"	"19"	"36"	"7"	"0.1944444444"
"Portugal"	"2001"	"3"	"20"	"57"	"20"	"0.350877193"
"Portugal"	"2001"	"3"	"21"	"71"	"17"	"0.2394366197"
"Portugal"	"2001"	"3"	"22"	"101"	"32"	"0.3168316832"
"Portugal"	"2001"	"3"	"23"	"88"	"28"	"0.3181818182"
"Portugal"	"2001"	"3"	"24"	"122"	"37"	"0.3032786885"
"Romania"	"2002"	"3"	"14"	"33"	"2"	"0.0606060606"
"Romania"	"2002"	"3"	"16"	"49"	"5"	"0.1020408163"
"Romania"	"2002"	"3"	"17"	"73"	"8"	"0.1095890411"
"Romania"	"2002"	"3"	"18"	"93"	"9"	"0.0967741935"
"Romania"	"2002"	"3"	"19"	"154"	"20"	"0.1298701299"
"Romania"	"2002"	"3"	"20"	"283"	"44"	"0.1554770318"
