"country"	"YEAR"	"AGE"	"SEX"	"SCHOOL"	"prop_union2"	"prop_child2"	"round"	"childless2"
"Argentina"	"2001"	"13"	"Male"	"1"	"0.0002163432"	"."	"2000"	"."
"Argentina"	"2001"	"13"	"Female"	"0"	"0.0241691843"	"."	"2000"	"."
"Argentina"	"2001"	"13"	"Female"	"1"	"0.0002841178"	"."	"2000"	"."
"Argentina"	"2001"	"14"	"Male"	"0"	"0.01478318"	"."	"2000"	"."
"Argentina"	"2001"	"14"	"Male"	"1"	"0.0045190445"	"."	"2000"	"."
"Argentina"	"2001"	"14"	"Female"	"0"	"0.0710312366"	"0.0855798032"	"2000"	"0.9144201968"
"Argentina"	"2001"	"14"	"Female"	"1"	"0.0057469388"	"0.023444898"	"2000"	"0.976555102"
"Argentina"	"2001"	"15"	"Male"	"0"	"0.0136041387"	"."	"2000"	"."
"Argentina"	"2001"	"15"	"Male"	"1"	"0.0039849143"	"."	"2000"	"."
"Argentina"	"2001"	"15"	"Female"	"0"	"0.1142005958"	"0.1375372393"	"2000"	"0.8624627607"
"Argentina"	"2001"	"15"	"Female"	"1"	"0.0062395427"	"0.022518126"	"2000"	"0.977481874"
"Argentina"	"2001"	"16"	"Male"	"0"	"0.0188041126"	"."	"2000"	"."
"Argentina"	"2001"	"16"	"Male"	"1"	"0.004341534"	"."	"2000"	"."
"Argentina"	"2001"	"16"	"Female"	"0"	"0.1884772264"	"0.2370836166"	"2000"	"0.7629163834"
"Argentina"	"2001"	"16"	"Female"	"1"	"0.0089222822"	"0.0284886906"	"2000"	"0.9715113094"
"Argentina"	"2001"	"17"	"Male"	"0"	"0.0330043511"	"."	"2000"	"."
"Argentina"	"2001"	"17"	"Male"	"1"	"0.0058392178"	"."	"2000"	"."
"Argentina"	"2001"	"17"	"Female"	"0"	"0.2437159886"	"0.3268981601"	"2000"	"0.6731018399"
"Argentina"	"2001"	"17"	"Female"	"1"	"0.0175039684"	"0.0411858081"	"2000"	"0.9588141919"
"Argentina"	"2001"	"18"	"Male"	"0"	"0.0622033655"	"."	"2000"	"."
"Argentina"	"2001"	"18"	"Male"	"1"	"0.0099639721"	"."	"2000"	"."
"Argentina"	"2001"	"18"	"Female"	"0"	"0.2650300601"	"0.3513694055"	"2000"	"0.6486305945"
"Argentina"	"2001"	"18"	"Female"	"1"	"0.0271412319"	"0.0570453437"	"2000"	"0.9429546563"
"Argentina"	"2001"	"19"	"Male"	"0"	"0.093043621"	"."	"2000"	"."
"Argentina"	"2001"	"19"	"Male"	"1"	"0.0145834815"	"."	"2000"	"."
"Argentina"	"2001"	"19"	"Female"	"0"	"0.3020405699"	"0.3924776624"	"2000"	"0.6075223376"
"Argentina"	"2001"	"19"	"Female"	"1"	"0.0420302875"	"0.0742428131"	"2000"	"0.9257571869"
"Argentina"	"2001"	"20"	"Male"	"0"	"0.1451938805"	"."	"2000"	"."
"Argentina"	"2001"	"20"	"Male"	"1"	"0.0240472263"	"."	"2000"	"."
"Argentina"	"2001"	"20"	"Female"	"0"	"0.3638047505"	"0.4627914578"	"2000"	"0.5372085422"
"Argentina"	"2001"	"20"	"Female"	"1"	"0.0566350029"	"0.0981577432"	"2000"	"0.9018422568"
"Argentina"	"2001"	"21"	"Male"	"0"	"0.2053700065"	"."	"2000"	"."
"Argentina"	"2001"	"21"	"Male"	"1"	"0.036641073"	"."	"2000"	"."
"Argentina"	"2001"	"21"	"Female"	"0"	"0.4117078825"	"0.5169049459"	"2000"	"0.4830950541"
"Argentina"	"2001"	"21"	"Female"	"1"	"0.0787754781"	"0.1146612104"	"2000"	"0.8853387896"
"Argentina"	"2001"	"22"	"Male"	"0"	"0.2665294464"	"."	"2000"	"."
"Argentina"	"2001"	"22"	"Male"	"1"	"0.0495485327"	"."	"2000"	"."
"Argentina"	"2001"	"22"	"Female"	"0"	"0.4644128937"	"0.5494149748"	"2000"	"0.4505850252"
"Argentina"	"2001"	"22"	"Female"	"1"	"0.109039548"	"0.1366290019"	"2000"	"0.8633709981"
"Argentina"	"2001"	"23"	"Male"	"0"	"0.3308068257"	"."	"2000"	"."
"Argentina"	"2001"	"23"	"Male"	"1"	"0.0682830931"	"."	"2000"	"."
"Argentina"	"2001"	"23"	"Female"	"0"	"0.5102687014"	"0.5982233168"	"2000"	"0.4017766832"
"Argentina"	"2001"	"23"	"Female"	"1"	"0.143683703"	"0.1588985321"	"2000"	"0.8411014679"
"Argentina"	"2001"	"24"	"Male"	"0"	"0.3916192883"	"."	"2000"	"."
"Argentina"	"2001"	"24"	"Male"	"1"	"0.1025839393"	"."	"2000"	"."
"Argentina"	"2001"	"24"	"Female"	"0"	"0.5489350581"	"0.6133106843"	"2000"	"0.3866893157"
"Argentina"	"2001"	"24"	"Female"	"1"	"0.1947018139"	"0.1956152943"	"2000"	"0.8043847057"
"Austria"	"2001"	"12"	"Male"	"0"	"0"	"."	"2000"	"."
"Austria"	"2001"	"12"	"Male"	"1"	"0"	"."	"2000"	"."
"Austria"	"2001"	"12"	"Female"	"0"	"0"	"."	"2000"	"."
"Austria"	"2001"	"12"	"Female"	"1"	"0"	"."	"2000"	"."
"Austria"	"2001"	"13"	"Male"	"0"	"0"	"."	"2000"	"."
"Austria"	"2001"	"13"	"Male"	"1"	"0"	"."	"2000"	"."
"Austria"	"2001"	"13"	"Female"	"0"	"0"	"."	"2000"	"."
"Austria"	"2001"	"13"	"Female"	"1"	"0"	"."	"2000"	"."
"Austria"	"2001"	"14"	"Male"	"0"	"0"	"."	"2000"	"."
"Austria"	"2001"	"14"	"Male"	"1"	"0"	"."	"2000"	"."
"Austria"	"2001"	"14"	"Female"	"0"	"0"	"."	"2000"	"."
"Austria"	"2001"	"14"	"Female"	"1"	"0"	"."	"2000"	"."
"Austria"	"2001"	"15"	"Male"	"0"	"0.0015432099"	"."	"2000"	"."
"Austria"	"2001"	"15"	"Male"	"1"	"0.0002384359"	"."	"2000"	"."
"Austria"	"2001"	"15"	"Female"	"0"	"0"	"."	"2000"	"."
"Austria"	"2001"	"15"	"Female"	"1"	"0"	"."	"2000"	"."
"Austria"	"2001"	"16"	"Male"	"0"	"0.0013410818"	"."	"2000"	"."
"Austria"	"2001"	"16"	"Male"	"1"	"0"	"."	"2000"	"."
"Austria"	"2001"	"16"	"Female"	"0"	"0.0086642599"	"0.0064981949"	"2000"	"0.9935018051"
"Austria"	"2001"	"16"	"Female"	"1"	"0.0006118079"	"0.0006118079"	"2000"	"0.9993881921"
"Austria"	"2001"	"17"	"Male"	"0"	"0.0007490637"	"."	"2000"	"."
"Austria"	"2001"	"17"	"Male"	"1"	"0.0004761905"	"."	"2000"	"."
"Austria"	"2001"	"17"	"Female"	"0"	"0.0240831965"	"0.030651341"	"2000"	"0.969348659"
"Austria"	"2001"	"17"	"Female"	"1"	"0.0013656538"	"0.0034141345"	"2000"	"0.9965858655"
"Austria"	"2001"	"18"	"Male"	"0"	"0.008988764"	"."	"2000"	"."
"Austria"	"2001"	"18"	"Male"	"1"	"0.0021953897"	"."	"2000"	"."
"Austria"	"2001"	"18"	"Female"	"0"	"0.0703056769"	"0.0580786026"	"2000"	"0.9419213974"
"Austria"	"2001"	"18"	"Female"	"1"	"0.0075337034"	"0.0063441713"	"2000"	"0.9936558287"
"Austria"	"2001"	"19"	"Male"	"0"	"0.0230200055"	"."	"2000"	"."
"Austria"	"2001"	"19"	"Male"	"1"	"0.0021413276"	"."	"2000"	"."
